Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,TotalPerformance
0,female,,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71,74,medium
1,female,group C,some college,standard,,married,sometimes,yes,0.0,,5 - 10,69,90,88,medium
2,female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91,high
3,male,group A,associate's degree,free/reduced,none,married,never,no,1.0,,5 - 10,45,56,42,low
4,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75,medium
5,female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79,medium
6,female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89,high
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39,low
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68,low
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59,50,low
10,male,group C,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,58,54,52,low
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43,low
12,female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74,medium
13,male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71,medium
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58,low
15,female,group C,some high school,standard,none,married,sometimes,yes,0.0,private,,69,75,78,medium
16,male,group C,high school,standard,,married,sometimes,yes,0.0,school_bus,5 - 10,88,89,86,high
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28,low
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47,low
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58,low
20,male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63,low
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70,medium
22,male,group D,,standard,none,married,never,yes,5.0,,5 - 10,42,53,51,low
23,female,group C,some high school,standard,none,divorced,never,no,3.0,,5 - 10,66,71,71,low
24,male,group D,,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,71,80,medium
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76,medium
26,male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53,low
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76,medium
28,male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65,low
30,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72,medium
31,female,group B,some college,standard,none,single,sometimes,yes,5.0,,5 - 10,63,65,61,low
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66,low
33,male,,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,40,42,38,low
34,male,group E,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,,97,87,82,high
35,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,5 - 10,81,81,79,medium
36,female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85,medium
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60,low
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90,high
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58,low
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52,low
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1.0,,5 - 10,59,74,69,low
43,male,group B,some college,free/reduced,,married,regularly,yes,3.0,school_bus,5 - 10,60,65,67,low
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52,low
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55,low
47,female,group C,high school,standard,none,married,regularly,yes,,private,5 - 10,67,72,77,medium
49,male,group C,high school,standard,completed,married,sometimes,,3.0,,5 - 10,82,84,82,medium
50,male,group E,some college,standard,none,married,,no,3.0,school_bus,> 10,54,55,48,low
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2.0,private,< 5,76,68,68,medium
52,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43,low
53,male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75,medium
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90,medium
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43,low
